id,title,description,image_link,link,product_type,brand,price,availability,item_group_id,checkout_url,additional_image_link,sale_price_effective_date,sale_price,condition,visibility,default_product,variant
wc_post_id_3016,"Saint Felicien Grenache- Syrah- Malbec","Saint Felicien Grenache- Syrah- Malbec",https://latablita.com.ar/wp-content/uploads/2020/11/saint-felicien-rose.jpg,https://latablita.com.ar/tienda/saint-felicien-grenache-syrah-malbec/,"Vinos y Cervezas","Fiambrería La Tablita",2600ARS,out of stock,wc_post_id_3016,https://latablita.com.ar/carrito/?add-to-cart=3016,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,2600ARS,new,published,,
wc_post_id_2988,"Jamón Crudo Español Recebo alimentado a Bellota","Peso: 02 - 200 grs",https://latablita.com.ar/wp-content/uploads/2020/11/jamon-crudo-recebo.jpg,https://latablita.com.ar/tienda/jamon-crudo-espanol-recebo/?attribute_pa_peso=02-200-grs,"Fiambres, Jamón Crudo","Fiambrería La Tablita",1598ARS,in stock,wc_post_id_2986,https://latablita.com.ar/carrito/?add-to-cart=2986&variation_id=2988&attribute_pa_peso=02-200-grs,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,1598ARS,new,published,,"peso:01 - 100 grs/02 - 200 grs/03 - 300 grs:02 - 200 grs"
wc_post_id_2989,"Jamón Crudo Español Recebo alimentado a Bellota","Peso: 03 - 300 grs",https://latablita.com.ar/wp-content/uploads/2020/11/jamon-crudo-recebo.jpg,https://latablita.com.ar/tienda/jamon-crudo-espanol-recebo/?attribute_pa_peso=03-300-grs,"Fiambres, Jamón Crudo","Fiambrería La Tablita",2397ARS,in stock,wc_post_id_2986,https://latablita.com.ar/carrito/?add-to-cart=2986&variation_id=2989&attribute_pa_peso=03-300-grs,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,2397ARS,new,published,,"peso:01 - 100 grs/02 - 200 grs/03 - 300 grs:03 - 300 grs"
wc_post_id_2987,"Jamón Crudo Español Recebo alimentado a Bellota","Peso: 01 - 100 grs",https://latablita.com.ar/wp-content/uploads/2020/11/jamon-crudo-recebo.jpg,https://latablita.com.ar/tienda/jamon-crudo-espanol-recebo/?attribute_pa_peso=01-100-grs,"Fiambres, Jamón Crudo","Fiambrería La Tablita",799ARS,in stock,wc_post_id_2986,https://latablita.com.ar/carrito/?add-to-cart=2986&variation_id=2987&attribute_pa_peso=01-100-grs,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,799ARS,new,published,,"peso:01 - 100 grs/02 - 200 grs/03 - 300 grs:01 - 100 grs"
wc_post_id_2983,"Antipasto Siciliano","Peso: 02 - 200 grs",https://latablita.com.ar/wp-content/uploads/2020/11/antipasto-siciliano.jpg,https://latablita.com.ar/tienda/antipasto-siciliano/?attribute_pa_peso=02-200-grs,"Acompañamientos","Fiambrería La Tablita",398ARS,in stock,wc_post_id_2982,https://latablita.com.ar/carrito/?add-to-cart=2982&variation_id=2983&attribute_pa_peso=02-200-grs,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,398ARS,new,published,,"peso:02 - 200 grs/04 -400 grs:02 - 200 grs"
wc_post_id_2984,"Antipasto Siciliano","Peso: 04 -400 grs",https://latablita.com.ar/wp-content/uploads/2020/11/antipasto-siciliano.jpg,https://latablita.com.ar/tienda/antipasto-siciliano/?attribute_pa_peso=04-400-grs,"Acompañamientos","Fiambrería La Tablita",796ARS,in stock,wc_post_id_2982,https://latablita.com.ar/carrito/?add-to-cart=2982&variation_id=2984&attribute_pa_peso=04-400-grs,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,796ARS,new,published,,"peso:02 - 200 grs/04 -400 grs:04 -400 grs"
wc_post_id_2978,"Boquerones","Peso: 01 - 100 grs",https://latablita.com.ar/wp-content/uploads/2020/11/boquerones.jpg,https://latablita.com.ar/tienda/boquerones/?attribute_pa_peso=01-100-grs,"Fiambres, Pescados","Fiambrería La Tablita",320ARS,in stock,wc_post_id_2977,https://latablita.com.ar/carrito/?add-to-cart=2977&variation_id=2978&attribute_pa_peso=01-100-grs,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,320ARS,new,published,,"peso:01 - 100 grs/02 - 200 grs/03 - 300 grs:01 - 100 grs"
wc_post_id_2980,"Boquerones","Peso: 03 - 300 grs",https://latablita.com.ar/wp-content/uploads/2020/11/boquerones.jpg,https://latablita.com.ar/tienda/boquerones/?attribute_pa_peso=03-300-grs,"Fiambres, Pescados","Fiambrería La Tablita",960ARS,in stock,wc_post_id_2977,https://latablita.com.ar/carrito/?add-to-cart=2977&variation_id=2980&attribute_pa_peso=03-300-grs,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,960ARS,new,published,,"peso:01 - 100 grs/02 - 200 grs/03 - 300 grs:03 - 300 grs"
wc_post_id_2979,"Boquerones","Peso: 02 - 200 grs",https://latablita.com.ar/wp-content/uploads/2020/11/boquerones.jpg,https://latablita.com.ar/tienda/boquerones/?attribute_pa_peso=02-200-grs,"Fiambres, Pescados","Fiambrería La Tablita",640ARS,in stock,wc_post_id_2977,https://latablita.com.ar/carrito/?add-to-cart=2977&variation_id=2979&attribute_pa_peso=02-200-grs,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,640ARS,new,published,,"peso:01 - 100 grs/02 - 200 grs/03 - 300 grs:02 - 200 grs"
wc_post_id_2976,"Bolitas de Chocolate con Lemoncello","Peso: 03 - 300 grs",https://latablita.com.ar/wp-content/uploads/2020/11/bolitas-lemoncello.jpg,https://latablita.com.ar/tienda/bolitas-de-chocolate-con-lemoncello/?attribute_pa_peso=03-300-grs,"Frutos secos y chocolate","Fiambrería La Tablita",390ARS,in stock,wc_post_id_2972,https://latablita.com.ar/carrito/?add-to-cart=2972&variation_id=2976&attribute_pa_peso=03-300-grs,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,390ARS,new,published,,"peso:01 - 100 grs/02 - 200 grs/03 - 300 grs:03 - 300 grs"
